prof,code,lecture,workload,personality,overall,challenge,learning
Nathanael Lash,CS1210,3.88474025974026,14.0,4.239538239538239,3.833333333333333,4.363636363636363,3.9916512059369196
Nathaniel Derbinsky,CS2000,4.323544871794872,4.0,4.4233629691564476,4.554166666666666,3.3734242424242424,4.004908424908424
Nathaniel Derbinsky,CS2500,4.4002849002849,12.0,4.532763532763533,4.518518518518519,4.497685185185185,4.466829466829467
Nathaniel Derbinsky,CS3200,4.692616588803696,12.0,4.730026992817691,4.824391349391349,4.550013831345072,4.574355143630023
Nathaniel Derbinsky,CS4500,4.523574691504509,12.0,4.558474453611232,4.541666666666667,4.25588768115942,4.458915293692227
Nathaniel Derbinsky,CS5200,3.881911643424802,16.0,4.217649572649573,4.314814814814815,3.34,3.2459942591521544
Nathaniel Derbinsky,CS5230,4.674708624708624,12.0,4.731895881895881,4.71969696969697,4.371212121212121,4.560378331346073
Nathaniel Derbinsky,CS6220,4.562500000000001,16.0,4.597222222222222,4.583333333333334,4.291666666666666,4.5476190476190474
Nathaniel Tuck,CS2500,4.5945121951219505,16.0,4.71839430894309,4.695121951219512,4.380550343964978,4.521181001283696
Nathaniel Tuck,CS3650,4.056196875416975,12.666666666666666,3.326052569250478,4.039453428515928,4.158165030091606,4.039271393037471
Nathaniel Tuck,CS4550,4.367468687389357,15.428571428571429,4.076426019227504,4.439476253986532,4.530367508407319,4.339293927681338
Nathaniel Tuck,CS5610,4.001730406643531,19.0,4.0704168005283075,3.931268385693517,4.188471533442508,3.973994340544433
Nathaniel Tuck,CS6240,4.041617516185612,20.0,4.082409688013136,3.993877351097179,4.0227764002183495,3.9919845403021155
Neal Young,CS3000,3.842881944444444,18.666666666666668,3.3390549516908212,3.732291666666667,4.069097222222222,3.915456934414074
Neal Young,CS5800,4.396412037037037,12.0,4.604938271604939,4.388888888888889,4.681623931623932,4.463624338624339
Nicholas Brown,CS3540,4.778448275862068,20.0,4.8101532567049805,4.733333333333333,4.746153846153846,4.661904761904762
Nicholas Brown,CS4300,3.588636363636364,8.0,3.33939393939394,3.9022727272727273,3.6363636363636362,3.746103896103896
Nicholas Brown,CS4800,3.7345779220779223,11.0,3.560281385281386,4.045454545454545,4.034090909090909,3.9369202226345084
Nicholas Brown,CS4850,3.8117218399802244,12.0,3.610095742404792,3.8290998074454428,4.282565789473685,3.983137815286403
Nicholas Brown,CS5850,4.038194444444445,9.0,3.5625,4.076388888888889,4.034722222222222,4.044642857142857
Oleh Kolesnikov,CS6120,4.163194444444445,10.0,3.7430555555555562,4.138888888888889,3.8472222222222223,4.205357142857142
Olga Vitek,CS5220,3.9955165692007797,14.666666666666666,3.6257959714100068,4.072222222222222,4.1683235867446395,4.047702589807853
Olga Vitek,CS6140,3.896354166666667,19.333333333333332,3.8688161375661374,3.8926587301587303,4.161011904761904,3.8702380952380957
Olga Vitek,CS6220,3.6033905228758174,18.0,3.6638888888888888,3.227777777777778,3.8777777777777778,3.587208216619981
Olga Vitek,CS7280,4.0874999999999995,16.0,3.526754385964912,3.875,4.125,4.0
Olga Vitek,CS7290,4.4222222222222225,16.0,3.8203703703703704,4.3916666666666675,4.615277777777778,4.411111111111111
Olin Shivers III,CS2500,4.434090909090909,12.0,4.636363636363637,4.2727272727272725,4.454545454545455,4.420779220779221
Olin Shivers III,CS4410,4.635930819973668,12.0,3.8334832166778154,4.751986925535413,4.506755428328889,4.562517920260862
Olin Shivers III,CS6410,4.656000712250712,18.666666666666668,4.372792022792023,4.8247863247863245,4.696425796425797,4.56921041921042
Olin Shivers III,CS7480,4.656000712250712,18.666666666666668,4.372792022792023,4.8247863247863245,4.696425796425797,4.56921041921042
Omar Alonso,CS6200,4.625,8.0,4.583333333333333,5.0,4.25,4.285714285714286
Or Beit Aharon,CS4800,4.6499999999999995,16.0,4.666666666666667,4.6,4.45,4.657142857142857
Or Beit Aharon,CS5002,3.5244791666666666,12.0,3.78125,3.2604166666666665,4.140851449275362,3.694642857142857
Or Beit Aharon,CS5800,4.14702380952381,16.0,4.3999999999999995,4.066666666666666,4.525,4.150340136054422
Pandurangan Chandrasekaran,CS5800,4.145744047619048,18.0,4.070198412698413,4.11,4.356666666666667,4.2196768707483
Pandurangan Chandrasekaran,CS6750,3.640625,20.0,3.0625,3.25,3.625,3.5535714285714284
Penny Rheingans,CS1800,4.275,20.0,3.6,4.1,4.1,4.142857142857143
Pete Manolios,CS2800,4.3825,12.0,3.7283333333333335,4.279305555555555,4.375,4.215714285714285
Pete Manolios,CS4820,4.081986876180243,12.5,3.5382116519422526,4.024588557993731,4.204036432359407,4.018760782877854
Pete Manolios,CS7485,4.583333333333333,16.0,4.62962962962963,4.666666666666667,4.722222222222222,4.571428571428571
Pete Manolios,CS7805,4.447916666666666,14.0,4.550925925925926,4.666666666666667,4.611111111111111,4.392857142857142
Peter Desnoyers,CS3700,3.25,18.0,3.0,3.0,3.9375,3.4285714285714284
Peter Desnoyers,CS5600,3.0387824321647856,12.0,3.017611779560309,2.8823529411764706,3.81951871657754,3.33207424383895
Peter Desnoyers,CS6620,4.283891720487115,13.0,4.056728225478226,4.190145502645503,4.324903973341474,4.198136318405005
Peter Desnoyers,CS7600,4.125892857142857,12.0,4.136111111111111,4.0476190476190474,4.154761904761905,4.137074829931973
Peter Desnoyers,CS7680,3.7676282051282053,12.0,3.483618233618234,3.6089743589743586,3.9265734265734267,3.8934953934953933
Philip Gust,CS5001,4.552083333333333,18.0,3.8333333333333335,4.208333333333334,4.375,4.404761904761904
Philip Gust,CS5002,4.322390572390572,18.0,4.303170594837261,4.2302188552188555,4.133897801544861,4.300642479213908
Philip Gust,CS5004,4.2353753702437915,14.666666666666666,4.204887218045113,4.24105718842561,4.195699811024888,4.286433978163301
Philip Gust,CS5006,4.171153846153847,18.666666666666668,4.195441595441596,4.0747863247863245,3.914102564102565,4.098778998778999
Philip Gust,CS5007,4.440476190476191,15.333333333333334,4.357142857142857,4.305555555555555,4.384920634920635,4.426303854875283
Philip Gust,CS5200,4.642045454545454,14.0,4.494949494949495,4.494949494949495,4.668686868686869,4.565656565656565
Philip Gust,CS5610,4.486971690590112,10.0,4.629545454545455,4.571590909090909,4.128219696969697,4.3179027113237645
Philip Gust,CS5800,4.140151515151515,16.0,4.454545454545454,3.8636363636363638,4.090909090909091,4.129870129870129
